PLAYER,POS,TEAM,AGE,AVERAGE SALARY,TEAM AAV %,CASH EARNINGS,% OF TEAM PAYROLL,GTD EARNINGS,TEAM GTD %,CAP FIGURE,% OF TEAM CAP,Year
Chad Greenway,OLB,MIN,27,2150000,0.02,3170000,0.04,-,-,4447500,-,2010
Jeff Saturday,C,IND,35,4433333,0.04,-,-,-,-,4433333,-,2010
Drayton Florence,CB,BUF,29,3300000,0.03,4000000,0.04,-,-,4425000,-,2010
Marques Colston,WR,NO,27,3750000,0.03,3050000,0.03,-,-,4381250,-,2010
Isaac Sopoaga,DT,SF,28,4000000,0.03,-,-,-,-,4372500,-,2010
Rashean Mathis,CB,JAC,30,5100000,0.05,4000000,0.06,-,-,4364000,-,2010
Jovan Haye,DT,TEN,28,4050000,0.04,-,-,-,-,4300000,-,2010
Randy Starks,DE,MIA,26,4010000,0.04,3125000,0.04,-,-,4275000,-,2010
Jon Stinchcomb,T,NO,31,4500000,0.04,-,-,-,-,4275000,-,2010
Sheldon Brown,CB,CLE,31,5083333,0.06,-,-,-,-,4266667,-,2010
Vince Manuwai,G,JAC,30,4000000,0.04,3550000,0.05,-,-,4250000,-,2010
Eugene Amano,C,TEN,28,5249400,0.05,-,-,-,-,4245000,-,2010
Wes Welker,WR,NE,29,3620000,0.03,2250000,0.03,-,-,4225000,-,2010
Derrick Dockery,G,WAS,29,5300000,0.04,-,-,-,-,4160000,-,2010
Eric Berry,FS,KC,21,8340717,0.08,4157000,0.05,-,-,4157000,-,2010
Bob Sanders,S,IND,29,7500000,0.07,-,-,-,-,4150833,-,2010
Domata Peko,DT,CIN,25,5553000,0.05,3150000,0.04,-,-,4150000,-,2010
Shawntae Spencer,CB,SF,28,3404167,0.03,-,-,-,-,4150000,-,2010
Michael Boley,LB,NYG,28,5000000,0.04,2750000,0.03,-,-,4150000,-,2010
Jeremy Maclin,WR,PHI,22,2875000,0.02,7881250,0.1,-,-,4131250,-,2010
Davin Joseph,G,TB,26,2255000,0.03,3920000,0.05,-,-,4120000,-,2010
Oshiomogho Atogwe,S,STL,29,6400000,0.06,4100000,0.06,-,-,4100000,-,2010
Mike Jenkins,CB,DAL,25,1855000,0.01,3469000,0.03,-,-,4089000,-,2010
Jonathan Babineaux,DT,ATL,28,5000000,0.04,3570588,0.04,-,-,4070588,-,2010
Cedric Griffin,CB,MIN,27,5700000,0.04,-,-,-,-,4050000,-,2010
Michael Huff,S,OAK,27,8640000,0.07,460000,0,-,-,4045000,-,2010
Matt Birk,C,BAL,34,4000000,0.03,3000000,0.02,-,-,4000000,-,2010
Kevin Walter,WR,HOU,29,4300000,0.04,8000000,0.08,-,-,4000000,-,2010
Charlie Whitehurst,QB,SEA,28,4000000,0.03,4000000,0.05,-,-,4000000,-,2010
Kyle Kosier,G,DAL,31,3000000,0.02,-,-,-,-,3990000,-,2010
Ronnie Brown,RB,MIA,28,3969239,0.04,3969239,0.05,-,-,3969239,-,2010
Brandon Moore,G,NYJ,30,4000000,0.03,-,-,-,-,3960417,-,2010
Daryl Smith,ILB,JAC,28,4723333,0.05,3200000,0.05,-,-,3950000,-,2010
Ronde Barber,S,TB,35,4800000,0.06,-,-,-,-,3950000,-,2010
Jonathan Goodwin,C,NO,31,2833333,0.02,3000000,0.03,-,-,3933333,-,2010
Brett Keisel,DE,PIT,31,3900000,0.03,2925000,0.04,-,-,3925000,-,2010
Anthony Davis,RT,SF,20,5300000,0.04,4741900,0.04,-,-,3908567,-,2010
Quentin Jammer,S,SD,31,4546429,0.04,3500000,0.04,-,-,3900000,-,2010
Larry Foote,ILB,PIT,30,3100000,0.03,-,-,-,-,3900000,-,2010
Cortland Finnegan,CB,TEN,26,4200000,0.04,2900000,0.05,-,-,3900000,-,2010
Joe Flacco,QB,BAL,25,5950000,0.05,2660000,0.02,-,-,3900000,-,2010
David Carr,QB,SF,31,3125000,0.02,3875000,0.04,-,-,3875000,-,2010
Brandon Pettigrew,TE,DET,25,2560000,0.02,7676000,0.08,-,-,3854750,-,2010
Mike Peterson,LB,ATL,34,3000000,0.02,3100000,0.03,-,-,3850000,-,2010
Jacques Reeves,CB,HOU,27,4000000,0.04,-,-,-,-,3800000,-,2010
Marc Bulger,QB,BAL,33,5300000,0.05,3800000,0.03,-,-,3800000,-,2010
Shawne Merriman,LB,BUF,26,3269200,0.03,4769230,0.05,-,-,3769210,-,2010
Igor Olshansky,DE,DAL,28,4500000,0.04,-,-,-,-,3765000,-,2010
Colin Cole,DT,SEA,30,4280000,0.04,3250000,0.04,-,-,3750000,-,2010
Rocky Bernard,DT,NYG,31,4000000,0.03,-,-,-,-,3750000,-,2010
Shane Lechler,P,OAK,34,4000000,0.03,2600000,0.03,-,-,3700000,-,2010
Visanthe Shiancoe,TE,MIN,30,3700000,0.03,-,-,-,-,3700000,-,2010
Percy Harvin,WR,MIN,22,2410000,0.02,6201000,0.08,-,-,3682300,-,2010
Nick Kaczur,T,NE,31,4000000,0.04,-,-,-,-,3675000,-,2010
Jason Smith,LT,STL,24,12350000,0.11,20570000,0.3,-,-,3662500,-,2010
Jammal Brown,T,WAS,29,3619000,0.03,3619000,0.03,-,-,3619000,-,2010
Greg Jones,FB,JAC,29,3480000,0.03,3100000,0.05,-,-,3600000,-,2010
Chris Johnson,CB,OAK,30,3850000,0.03,2600000,0.03,-,-,3600000,-,2010
Tyson Jackson,DE,KC,24,11400000,0.12,13575000,0.16,-,-,3575000,-,2010
Tony Pashos,RT,CLE,30,3418333,0.04,4505000,0.06,-,-,3505000,-,2010
Ovie Mughelli,RB,ATL,30,3000000,0.02,-,-,-,-,3500000,-,2010
Cedric Benson,RB,CIN,27,3250000,0.03,2750000,0.04,-,-,3500000,-,2010
Reggie Wells,G,ARI,29,3000000,0.03,-,-,-,-,3500000,-,2010
Derrick Mason,WR,BAL,26,4000000,0.03,3500000,0.03,-,-,3500000,-,2010
Aaron Kampman,DE,JAC,30,6000000,0.06,-,-,-,-,3500000,-,2010
Michael Oher,RT,BAL,24,2699000,0.02,6963000,0.05,-,-,3453000,-,2010
Rich Seubert,G,NYG,31,3000000,0.02,-,-,-,-,3450000,-,2010
Jay Ratliff,DT,DAL,29,4187000,0.03,2105000,0.02,-,-,3438333,-,2010
Ryan Clady,LT,DEN,23,3500000,0.03,1105000,0.01,-,-,3434375,-,2010
Dominic Raiola,C,DET,31,5000000,0.04,6650000,0.07,-,-,3412500,-,2010
Yeremiah Bell,S,MIA,32,5000000,0.05,1900000,0.02,-,-,3400000,-,2010
Shaun Ellis,DE,NYJ,33,5500000,0.04,3350000,0.03,-,-,3350000,-,2010
Chauncey Davis,DE,ATL,27,3500000,0.03,-,-,-,-,3350000,-,2010
